player_name,team_abbreviation,old_ppg,new_ppg,ppg_difference,ppg_percent_inc
D'Angelo Russell,MIN,23.08888888888889,24.033333333333335,0.9444444444444464,0.0392972723069811
D.J. Augustin,ORL,10.428571428571429,10.653061224489797,0.22448979591836782,0.021072796934865967
D.J. Wilson,MIL,3.225806451612903,3.306451612903226,0.08064516129032295,0.024390243902439157
DaQuan Jeffries,SAC,1.1666666666666667,1.1666666666666667,0,0
Damian Jones,ATL,5.5636363636363635,5.572727272727272,0.009090909090908816,0.0016313213703098572
Damian Lillard,POR,28.913793103448278,29.42241379310345,0.5086206896551708,0.017286844418400227
Damion Lee,GSW,12.673469387755102,13.03061224489796,0.35714285714285765,0.027407987470634332
Damyean Dotson,NYK,6.6875,7,0.3125,0.044642857142857095
Daniel Gafford,CHI,5.116279069767442,5.116279069767442,0,0
Daniel Theis,BOS,9.293103448275861,9.422413793103448,0.1293103448275872,0.013723696248856498
Danilo Gallinari,OKC,19.21818181818182,19.827272727272728,0.6090909090909093,0.030719853278312725
Danny Green,LAL,8.21311475409836,8.295081967213115,0.08196721311475486,0.00988142292490124
Dante Exum,CLE,4.542857142857143,4.585714285714285,0.042857142857142705,0.009345794392523366
Danuel House Jr.,HOU,10.206896551724139,10.25,0.04310344827586121,0.00420521446593769
Dario Saric,PHX,10.10344827586207,10.293103448275861,0.18965517241379182,0.018425460636515845
Darius Bazley,OKC,4.490566037735849,4.528301886792453,0.03773584905660332,0.008333333333333193
Darius Garland,CLE,12.338983050847459,12.830508474576272,0.49152542372881314,0.03830911492734479
Daryl Macon,MIA,NA,NA,NA,NA
David Nwaba,BKN,5.2,5.2,0,0
Davis Bertans,WAS,15.444444444444445,15.564814814814815,0.12037037037037024,0.007733491969066031
De'Aaron Fox,SAC,20.466666666666665,20.77777777777778,0.31111111111111356,0.01497326203208571
De'Andre Hunter,ATL,12.34920634920635,12.714285714285714,0.3650793650793638,0.028714107365792607
De'Anthony Melton,MEM,8.076923076923077,8.221153846153847,0.14423076923077005,0.01754385964912286
DeAndre Jordan,BKN,8.303571428571429,8.3125,0.008928571428571175,0.0010741138560687036
DeAndre' Bembry,ATL,5.790697674418604,5.8023255813953485,0.011627906976744207,0.002004008016032066
DeMar DeRozan,SAS,22.16393442622951,23.37704918032787,1.2131147540983598,0.05189340813464227
DeMarre Carroll,HOU,3.4761904761904763,3.5,0.023809523809523725,0.006802721088435382
